T_name,T_url,Name,Link,Headline
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Connie Connors,,"Adjunct Professor, Communications and Media Studies - Fordham University"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Timothy Tuttle,,"CEO and Founder - MindMeld, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Nicolas El Baze,,Board Member - Waterline Data
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Dennis Maicon,,"Vice President, Business Development - IDology"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Josh Kopelman,,"Member, Board of Directors - Ed Snider Youth Hockey Foundation"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Lisa Edwards,,"EVP Strategic Business Operations, Office of COO - Salesforce"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Alan Taetle,,Board Member - RedCanary
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Scott Ryan,,"CMO & SVP, Products - Concurrent Computer Corporation"
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Mike Dickerson,,CEO - ClickDimensions
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Ben Sabrin,,VP Revenue - ScaleFT
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Tom McNeight,,"CEO - GuardedNet, Inc."
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Brian Cohen,,Member of the Board of Directors - QASymphony
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Bill Nussey,,Founder - The Freeing Energy Project
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Chris Messina,,Advisor - Tagboard.com
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Nabeel Hyatt,,General Partner - Spark Capital
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Steven Conine,,Founder of Wayfair - Wayfair
Chip Hazard,https://www.linkedin.com/in/chiphazard/,David Rose,,VP Vision Technology - Warby Parker
Chip Hazard,https://www.linkedin.com/in/chiphazard/,Jim Bratton,,"Assistant Vice President, Innovation and New Ventures - University of Oklahoma"
